"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"06/02/2025";"0000";"21,5";"24,0";"21,5";"70,0";"72,0";"64,0";"15,8";"17,5";"15,7";"885,9";"886,0";"885,4";"1,2";"27,0";"4,4";"";"0,0"
"06/02/2025";"0100";"19,6";"21,5";"18,9";"83,0";"86,0";"69,0";"16,5";"17,0";"15,6";"886,7";"886,7";"885,9";"1,0";"144,0";"2,7";"";"0,0"
"06/02/2025";"0200";"19,4";"19,9";"18,9";"84,0";"88,0";"81,0";"16,6";"17,0";"16,4";"887,2";"887,2";"886,7";"1,0";"168,0";"2,1";"";"0,0"
"06/02/2025";"0300";"19,3";"20,4";"19,3";"83,0";"83,0";"79,0";"16,2";"16,8";"16,2";"887,3";"887,3";"887,2";"1,2";"132,0";"2,2";"";"0,0"
"06/02/2025";"0400";"21,3";"21,4";"19,2";"66,0";"83,0";"65,0";"14,7";"16,2";"14,5";"886,9";"887,3";"886,9";"1,6";"109,0";"3,8";"";"0,0"
"06/02/2025";"0500";"20,7";"21,4";"20,7";"66,0";"67,0";"65,0";"14,2";"14,7";"14,2";"886,4";"886,9";"886,4";"1,5";"105,0";"3,8";"";"0,0"
"06/02/2025";"0600";"19,9";"20,8";"17,8";"70,0";"81,0";"66,0";"14,1";"14,6";"14,0";"886,0";"886,4";"886,0";"1,5";"96,0";"4,0";"";"0,0"
"06/02/2025";"0700";"20,2";"20,5";"19,8";"67,0";"70,0";"66,0";"13,9";"14,3";"13,9";"886,1";"886,1";"885,9";"1,8";"93,0";"4,0";"";"0,0"
"06/02/2025";"0800";"16,8";"20,3";"16,6";"85,0";"87,0";"66,0";"14,3";"14,5";"13,5";"886,6";"886,6";"886,0";"0,6";"118,0";"3,1";"";"0,0"
"06/02/2025";"0900";"15,9";"16,8";"15,7";"92,0";"92,0";"84,0";"14,6";"14,6";"14,0";"887,1";"887,1";"886,6";"0,4";"178,0";"1,3";"";"0,0"
"06/02/2025";"1000";"19,4";"19,4";"15,6";"82,0";"93,0";"79,0";"16,2";"16,2";"14,3";"887,9";"887,9";"887,1";"0,8";"111,0";"1,3";"201,70";"0,0"
"06/02/2025";"1100";"23,3";"23,3";"19,4";"57,0";"82,0";"55,0";"14,4";"16,6";"13,6";"888,6";"888,6";"887,9";"2,2";"94,0";"4,3";"960,70";"0,0"
"06/02/2025";"1200";"24,3";"24,4";"23,0";"55,0";"59,0";"54,0";"14,8";"15,2";"13,3";"889,0";"889,1";"888,6";"2,7";"72,0";"6,3";"2000,20";"0,0"
"06/02/2025";"1300";"25,4";"25,8";"24,2";"53,0";"56,0";"49,0";"15,1";"15,6";"13,6";"889,2";"889,2";"889,0";"3,3";"78,0";"7,7";"2864,50";"0,0"
"06/02/2025";"1400";"25,9";"26,1";"24,5";"52,0";"60,0";"49,0";"15,3";"16,9";"14,6";"889,0";"889,2";"889,0";"3,2";"88,0";"7,4";"3426,90";"0,0"
"06/02/2025";"1500";"26,7";"26,7";"25,0";"50,0";"54,0";"45,0";"15,5";"15,9";"13,5";"888,5";"889,0";"888,5";"2,7";"80,0";"7,3";"3766,10";"0,0"
"06/02/2025";"1600";"27,3";"27,6";"26,2";"44,0";"53,0";"41,0";"14,1";"16,4";"12,3";"887,8";"888,5";"887,8";"3,0";"101,0";"6,9";"3773,50";"0,0"
"06/02/2025";"1700";"27,7";"28,1";"27,1";"42,0";"47,0";"37,0";"13,7";"15,4";"12,4";"887,0";"887,8";"887,0";"2,1";"45,0";"6,3";"3828,20";"0,0"
"06/02/2025";"1800";"28,3";"28,6";"26,4";"38,0";"46,0";"32,0";"12,6";"15,2";"10,0";"886,4";"887,0";"886,4";"2,2";"139,0";"5,9";"2810,50";"0,0"
"06/02/2025";"1900";"28,3";"28,8";"27,5";"37,0";"42,0";"34,0";"12,4";"14,0";"10,9";"885,7";"886,4";"885,7";"3,1";"136,0";"6,4";"2575,80";"0,0"
"06/02/2025";"2000";"28,0";"28,7";"27,9";"37,0";"39,0";"33,0";"12,0";"12,8";"10,4";"885,4";"885,7";"885,4";"3,2";"135,0";"6,6";"2054,80";"0,0"
"06/02/2025";"2100";"27,1";"28,0";"27,0";"39,0";"39,0";"36,0";"11,9";"12,5";"11,1";"885,2";"885,5";"885,2";"2,8";"121,0";"6,7";"1001,50";"0,0"
"06/02/2025";"2200";"25,6";"27,1";"25,4";"49,0";"49,0";"39,0";"13,9";"13,9";"12,0";"885,6";"885,7";"885,2";"2,6";"122,0";"5,9";"134,90";"0,0"
"06/02/2025";"2300";"24,6";"25,6";"24,6";"55,0";"55,0";"49,0";"15,1";"15,1";"13,8";"886,0";"886,0";"885,5";"3,2";"117,0";"7,0";"";"0,0"
